k,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,A,B,1,AA,BB,AB,2,AAA,BBB,ABB,AAB,3,AAAA,BBBB,ABBB,AABB,AAAB,4,AAAAA,BBBBB,ABBBB,AABBB,AAABB,AAAAB,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.49900099933366654,0.49900099933366654,0.9980019986673331,0.0004980039946719957,0.0004980039946719957,0.0,0.0009960079893439914,9.940179640539353e-07,9.940179640539353e-07,0.0,0.0,1.9880359281078707e-06,2.6454184395654955e-09,2.6454184395654955e-09,0.0,0.0,0.0,5.290836879130991e-09,8.25041528124307e-12,8.25041528124307e-12,0.0,0.0,0.0,0.0,1.650083056248614e-11,5.69129306608472e-14,2.1045512922445614e-16,8.189938799637228e-19,3.31403581712716e-21,1.382996364453976e-23
2,0.0,0.0,0.0,0.0,0.49800399467199574,0.49800399467199574,0.9960079893439915,0.0009920319148370607,0.0009920319148370607,0.0,0.0019840638296741214,3.952286851447722e-06,3.952286851447722e-06,0.0,0.0,7.904573702895444e-06,2.0994716161179417e-08,2.0994716161179417e-08,0.0,0.0,0.0,4.1989432322358834e-08,1.3069315644090074e-10,1.3069315644090074e-10,0.0,0.0,0.0,0.0,2.6138631288180147e-10,1.7994898202257784e-12,1.3281874310768604e-14,1.0316726428548844e-16,8.332587108920311e-19,6.940729352324369e-21
3,0.0,0.0,0.0,0.0,0.49700898202696764,0.49700898202696764,0.9940179640539353,0.001482107569292896,0.001482107569292896,0.0,0.002964215138585792,8.839449291224707e-06,8.839449291224707e-06,0.0,0.0,1.7678898582449415e-05,7.029257110256947e-08,7.029257110256947e-08,0.0,0.0,0.0,1.4058514220513894e-07,6.550507351452431e-10,6.550507351452431e-10,0.0,0.0,0.0,0.0,1.3101014702904862e-09,1.3501877259824579e-11,1.491855630364139e-13,1.734730507015824e-15,2.097454914258439e-17,2.615414647553971e-19
4,0.0,0.0,0.0,0.0,0.49601595741853033,0.49601595741853033,0.9920319148370607,0.0019682546401105705,0.0019682546401105705,0.0,0.003936509280221141,1.5620571356126547e-05,1.5620571356126547e-05,0.0,0.0,3.1241142712253095e-05,1.6529179000818308e-07,1.6529179000818308e-07,0.0,0.0,0.0,3.3058358001636616e-07,2.04968413685829e-09,2.04968413685829e-09,0.0,0.0,0.0,0.0,4.09936827371658e-09,5.6218118282920217e-11,8.265689644228941e-13,1.2789526337996757e-14,2.0577150142009795e-16,3.414312684404632e-18
5,0.0,0.0,0.0,0.0,0.49502491687458405,0.49502491687458405,0.9900498337491681,0.0024504966832668883,0.0024504966832668883,0.0,0.004900993366533777,2.4261138338712705e-05,2.4261138338712705e-05,0.0,0.0,4.852227667742541e-05,3.202631463841078e-07,3.202631463841078e-07,0.0,0.0,0.0,6.405262927682156e-07,4.954319919274553e-09,4.954319919274553e-09,0.0,0.0,0.0,0.0,9.908639838549105e-09,1.695176160451648e-10,3.1092743911030306e-12,6.001721515555018e-14,1.2046143428366242e-15,2.4934893574624113e-17
6,0.0,0.0,0.0,0.0,0.49403585643096526,0.49403585643096526,0.9880717128619305,0.002928857129273728,0.002928857129273728,0.0,0.005857714258547456,3.472705056539243e-05,3.472705056539243e-05,0.0,0.0,6.945410113078486e-05,5.490050613566427e-07,5.490050613566427e-07,0.0,0.0,0.0,1.0980101227132854e-06,1.0171056962709886e-08,1.0171056962709886e-08,0.0,0.0,0.0,0.0,2.0342113925419772e-08,4.167825549596892e-10,9.155169797971762e-12,2.1163907298699165e-13,5.08722208693356e-15,1.2611096349097357e-16
7,0.0,0.0,0.0,0.0,0.49304877213143095,0.49304877213143095,0.9860975442628619,0.003403359283804364,0.003403359283804364,0.0,0.006806718567608728,4.6984619248051745e-05,4.6984619248051745e-05,0.0,0.0,9.396923849610349e-05,8.648531296277492e-07,8.648531296277492e-07,0.0,0.0,0.0,1.7297062592554985e-06,1.8655646346618185e-08,1.8655646346618185e-08,0.0,0.0,0.0,0.0,3.731129269323637e-08,8.900859525805879e-10,2.2764966652752524e-11,6.127377906294065e-13,1.7148957099664478e-14,4.94980466645459e-16
8,0.0,0.0,0.0,0.0,0.49206366002764257,0.49206366002764257,0.9841273200552851,0.0038740263283167905,0.0038740263283167905,0.0,0.007748052656633581,6.10005623729603e-05,6.10005623729603e-05,0.0,0.0,0.0001220011247459206,1.2806894926926227e-06,1.2806894926926227e-06,0.0,0.0,0.0,2.5613789853852455e-06,3.150903795666384e-08,3.150903795666384e-08,0.0,0.0,0.0,0.0,6.301807591332768e-08,1.7146684154038675e-09,5.001941147995155e-11,1.5355698747738754e-12,4.9018045324508297e-14,1.6137256195323653e-15
9,0.0,0.0,0.0,0.0,0.4910805161791504,0.4910805161791504,0.9821610323583008,0.004340881320674054,0.004340881320674054,0.0,0.008681762641348107,7.674200062664566e-05,7.674200062664566e-05,0.0,0.0,0.00015348400125329132,1.8089520614569834e-06,1.8089520614569834e-06,0.0,0.0,0.0,3.617904122913967e-06,4.996918755470439e-08,4.996918755470439e-08,0.0,0.0,0.0,0.0,9.993837510940879e-08,3.0530310878373543e-09,9.999391894848088e-11,3.4465813118794877e-12,1.2352613924707262e-13,4.565796031775495e-15
